id,filename,format,sample_rate,baud_rate,sps,modulation,fec_type,interleaver_depth,cfo_hz,snr_db,payload_type,payload_len_bytes,payload_ascii,payload_hex
IQ_011,capture_011.iq,iq,500000.0,50000.0,10.0,16-QAM,CONV,1,-430.31,22.06,PLAINTEXT,95,ACARS_AERODROME_FLIGHT_IX204: POSITION_LAT_28.6139_LON_77.2090_ALT_34000FT_SPEED_480KTS_PKT_011,41434152535f4145524f44524f4d455f464c494748545f49583230343a20504f534954494f4e5f4c41545f32382e363133395f4c4f4e5f37372e323039305f414c545f333430303046545f53504545445f3438304b54535f504b545f303131
IQ_012,capture_012.iq,iq,200000.0,50000.0,4.0,2-FSK,"RS(255,223)",1,121.22,19.4,ENCRYPTED,64,,16f77bbaf4d44b5befa4a6d02acbbafcf7c3de33fd90591516a60d3df49bcd6025f9c86f162b397f41aca854ec241ca873e8d19d88f353a20b663f2fc4f3f6f3
IQ_013,capture_013.iq,iq,250000.0,50000.0,5.0,4-FSK,"CONV+RS(255,223)",4,726.49,26.38,PLAINTEXT,245,AIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_,4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f
IQ_014,capture_014.iq,iq,500000.0,50000.0,10.0,2-FSK,LDPC,1,55.11,23.18,PLAINTEXT,95,WEATHER_OBSERVATION_METAR_VEGT: WIND_120_10KT_VIS_9999_SKC_TEMP_28_DP_22_QNH_1012_NOSIG_PKT_014,574541544845525f4f42534552564154494f4e5f4d455441525f564547543a2057494e445f3132305f31304b545f5649535f393939395f534b435f54454d505f32385f44505f32325f514e485f313031325f4e4f5349475f504b545f303134
IQ_015,capture_015.iq,iq,200000.0,50000.0,4.0,4-FSK,NONE,1,-253.94,26.28,PLAINTEXT,91,TELEMETRY_SUBSYSTEM_HK_PACKET_99: BATTERY_V_28_4_SOLAR_PWR_145W_CPU_TEMP_42C_BUS_OK_PKT_015,54454c454d455452595f53554253595354454d5f484b5f5041434b45545f39393a20424154544552595f565f32385f345f534f4c41525f5057525f313435575f4350555f54454d505f3432435f4255535f4f4b5f504b545f303135
IQ_016,capture_016.iq,iq,250000.0,50000.0,5.0,BPSK,CONV,1,303.08,28.91,ENCRYPTED,64,,9b7c99eff04f4489df7d4692cdcba5497a4e0c2fc3faf1d9d7de9b60c159810de51740ebf16c3c6f8c5a93599707dbad73919483490b6af35d3dc120dbbcca40
IQ_017,capture_017.iq,iq,500000.0,50000.0,10.0,QPSK,"RS(255,223)",4,-90.93,23.6,PLAINTEXT,219,GROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSS,47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353
IQ_018,capture_018.iq,iq,200000.0,50000.0,4.0,8PSK,"CONV+RS(255,223)",8,40.5,30.9,PLAINTEXT,245,HF_MARITIME_VOICE_DIGITAL_SELECTIVE_CALL: MMSI_004192000_URGENCY_PRIORITY_CHANNEL_16HF_MARITIME_VOICE_DIGITAL_SELECTIVE_CALL: MMSI_004192000_URGENCY_PRIORITY_CHANNEL_16HF_MARITIME_VOICE_DIGITAL_SELECTIVE_CALL: MMSI_004192000_URGENCY_PRIORITY_CHA,48465f4d41524954494d455f564f4943455f4449474954414c5f53454c4543544956455f43414c4c3a204d4d53495f3030343139323030305f555247454e43595f5052494f524954595f4348414e4e454c5f313648465f4d41524954494d455f564f4943455f4449474954414c5f53454c4543544956455f43414c4c3a204d4d53495f3030343139323030305f555247454e43595f5052494f524954595f4348414e4e454c5f313648465f4d41524954494d455f564f4943455f4449474954414c5f53454c4543544956455f43414c4c3a204d4d53495f3030343139323030305f555247454e43595f5052494f524954595f434841
IQ_019,capture_019.iq,iq,250000.0,50000.0,5.0,16-QAM,LDPC,1,482.9,25.87,PLAINTEXT,92,UHF_SATCOM_DAMA_CHANNEL_BURST: TIME_SLOT_08_BURST_ID_7781_MODULATION_LOCKED_CRC32_OK_PKT_019,5548465f534154434f4d5f44414d415f4348414e4e454c5f42555253543a2054494d455f534c4f545f30385f42555253545f49445f373738315f4d4f44554c4154494f4e5f4c4f434b45445f43524333325f4f4b5f504b545f303139
IQ_020,capture_020.iq,iq,500000.0,50000.0,10.0,BPSK,NONE,1,-513.63,22.52,ENCRYPTED,64,,eb74385ba534605f943b36b6a7fc40c7c501d235b7f5d8ff45450509b43a2cef5ae524b141c2f76559fd4defbcf1e7b0b559a64d2e1774e6b8e058bef0476a0a
IQ_021,capture_021.iq,iq,200000.0,50000.0,4.0,QPSK,CONV,1,35.01,20.35,PLAINTEXT,95,ACARS_AERODROME_FLIGHT_IX204: POSITION_LAT_28.6139_LON_77.2090_ALT_34000FT_SPEED_480KTS_PKT_021,41434152535f4145524f44524f4d455f464c494748545f49583230343a20504f534954494f4e5f4c41545f32382e363133395f4c4f4e5f37372e323039305f414c545f333430303046545f53504545445f3438304b54535f504b545f303231
IQ_022,capture_022.iq,iq,250000.0,50000.0,5.0,8PSK,"RS(255,223)",8,126.97,30.34,PLAINTEXT,219,COSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: LAT_12.9716_LON_77.5946_STATUS_ACTIVECOSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: LAT_12.9716_LON_77.5946_STATUS_ACTIVECOSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: L,434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c41545f31322e393731365f4c4f4e5f37372e353934365f5354415455535f414354495645434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c41545f31322e393731365f4c4f4e5f37372e353934365f5354415455535f414354495645434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c
IQ_023,capture_023.iq,iq,500000.0,50000.0,10.0,16-QAM,"CONV+RS(255,223)",16,-654.53,30.55,PLAINTEXT,245,AIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_,4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f
IQ_024,capture_024.iq,iq,200000.0,50000.0,4.0,BPSK,LDPC,1,-690.2,25.96,ENCRYPTED,64,,2b9945eb7670c27c91ad6829aa740ffee8eaa9083707c72c9bfada29ffd7d875c528b931b9b3c5f9bf26acab15dd439ed170ce7295b3b854eb9c6d48ee5e0a50
IQ_025,capture_025.iq,iq,250000.0,50000.0,5.0,QPSK,NONE,1,-675.86,26.71,PLAINTEXT,91,TELEMETRY_SUBSYSTEM_HK_PACKET_99: BATTERY_V_28_4_SOLAR_PWR_145W_CPU_TEMP_42C_BUS_OK_PKT_025,54454c454d455452595f53554253595354454d5f484b5f5041434b45545f39393a20424154544552595f565f32385f345f534f4c41525f5057525f313435575f4350555f54454d505f3432435f4255535f4f4b5f504b545f303235
IQ_026,capture_026.iq,iq,500000.0,50000.0,10.0,8PSK,CONV,1,385.68,26.53,PLAINTEXT,91,RADAR_TRACK_REPORT_AZ_045_EL_12_RNG_85KM: DOPPLER_FREQ_SHIFT_320HZ_CONFIRM_FRIENDLY_PKT_026,52414441525f545241434b5f5245504f52545f415a5f3034355f454c5f31325f524e475f38354b4d3a20444f50504c45525f465245515f53484946545f333230485a5f434f4e4649524d5f465249454e444c595f504b545f303236
IQ_027,capture_027.iq,iq,200000.0,50000.0,4.0,16-QAM,"RS(255,223)",16,428.82,30.07,PLAINTEXT,219,GROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSS,47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353
IQ_028,capture_028.iq,iq,250000.0,50000.0,5.0,2-FSK,"CONV+RS(255,223)",1,621.56,26.49,ENCRYPTED,64,,c33f06b759b3e5cfbcc7c13fadb2d770f55947c9f276bc38379021571fc19db0b8150a147b02ff4f5ee8bb5d1ea22a878e23e030973c3dee478009c7157015e3
IQ_029,capture_029.iq,iq,500000.0,50000.0,10.0,4-FSK,LDPC,1,-433.21,24.34,PLAINTEXT,92,UHF_SATCOM_DAMA_CHANNEL_BURST: TIME_SLOT_08_BURST_ID_7781_MODULATION_LOCKED_CRC32_OK_PKT_029,5548465f534154434f4d5f44414d415f4348414e4e454c5f42555253543a2054494d455f534c4f545f30385f42555253545f49445f373738315f4d4f44554c4154494f4e5f4c4f434b45445f43524333325f4f4b5f504b545f303239
IQ_030,capture_030.iq,iq,200000.0,50000.0,4.0,2-FSK,NONE,1,24.32,23.46,PLAINTEXT,94,TACTICAL_SITREP_UNIT_ALPHA_7: SECTOR_BRAVO_RECON_COMPLETED_STATUS_GREEN_ALL_SYSTEMS_GO_PKT_030,544143544943414c5f5349545245505f554e49545f414c5048415f373a20534543544f525f425241564f5f5245434f4e5f434f4d504c455445445f5354415455535f475245454e5f414c4c5f53595354454d535f474f5f504b545f303330
IQ_031,capture_031.iq,iq,250000.0,50000.0,5.0,4-FSK,CONV,1,-281.58,18.73,PLAINTEXT,95,ACARS_AERODROME_FLIGHT_IX204: POSITION_LAT_28.6139_LON_77.2090_ALT_34000FT_SPEED_480KTS_PKT_031,41434152535f4145524f44524f4d455f464c494748545f49583230343a20504f534954494f4e5f4c41545f32382e363133395f4c4f4e5f37372e323039305f414c545f333430303046545f53504545445f3438304b54535f504b545f303331
IQ_032,capture_032.iq,iq,500000.0,50000.0,10.0,BPSK,"RS(255,223)",1,-198.26,31.31,ENCRYPTED,64,,c1d90039854398142e555f632b6b9aedf7f9481a08a7e774937efccf905b478bf23901f281a51a1d4deadf82c789d787fcf15aff608f342650e863e596ceb69d
IQ_033,capture_033.iq,iq,200000.0,50000.0,4.0,QPSK,"CONV+RS(255,223)",4,542.62,29.03,PLAINTEXT,245,AIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_,4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f
IQ_034,capture_034.iq,iq,250000.0,50000.0,5.0,8PSK,LDPC,1,145.87,26.55,PLAINTEXT,95,WEATHER_OBSERVATION_METAR_VEGT: WIND_120_10KT_VIS_9999_SKC_TEMP_28_DP_22_QNH_1012_NOSIG_PKT_034,574541544845525f4f42534552564154494f4e5f4d455441525f564547543a2057494e445f3132305f31304b545f5649535f393939395f534b435f54454d505f32385f44505f32325f514e485f313031325f4e4f5349475f504b545f303334
IQ_035,capture_035.iq,iq,500000.0,50000.0,10.0,16-QAM,NONE,1,-388.39,28.88,PLAINTEXT,91,TELEMETRY_SUBSYSTEM_HK_PACKET_99: BATTERY_V_28_4_SOLAR_PWR_145W_CPU_TEMP_42C_BUS_OK_PKT_035,54454c454d455452595f53554253595354454d5f484b5f5041434b45545f39393a20424154544552595f565f32385f345f534f4c41525f5057525f313435575f4350555f54454d505f3432435f4255535f4f4b5f504b545f303335
IQ_036,capture_036.iq,iq,200000.0,50000.0,4.0,BPSK,CONV,1,-779.86,27.65,ENCRYPTED,64,,68943e43e422c247220e5dcdeb46a72e81630341351f1b023b217fcf78e41a68b781cdff3ed919b8d38d0521ab35e857947531ebc03c01690c057a1ed0a613f1
IQ_037,capture_037.iq,iq,250000.0,50000.0,5.0,QPSK,"RS(255,223)",4,-631.65,25.69,PLAINTEXT,219,GROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSS,47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353
IQ_038,capture_038.iq,iq,500000.0,50000.0,10.0,8PSK,"CONV+RS(255,223)",8,192.55,22.2,PLAINTEXT,245,HF_MARITIME_VOICE_DIGITAL_SELECTIVE_CALL: MMSI_004192000_URGENCY_PRIORITY_CHANNEL_16HF_MARITIME_VOICE_DIGITAL_SELECTIVE_CALL: MMSI_004192000_URGENCY_PRIORITY_CHANNEL_16HF_MARITIME_VOICE_DIGITAL_SELECTIVE_CALL: MMSI_004192000_URGENCY_PRIORITY_CHA,48465f4d41524954494d455f564f4943455f4449474954414c5f53454c4543544956455f43414c4c3a204d4d53495f3030343139323030305f555247454e43595f5052494f524954595f4348414e4e454c5f313648465f4d41524954494d455f564f4943455f4449474954414c5f53454c4543544956455f43414c4c3a204d4d53495f3030343139323030305f555247454e43595f5052494f524954595f4348414e4e454c5f313648465f4d41524954494d455f564f4943455f4449474954414c5f53454c4543544956455f43414c4c3a204d4d53495f3030343139323030305f555247454e43595f5052494f524954595f434841
IQ_039,capture_039.iq,iq,200000.0,50000.0,4.0,16-QAM,LDPC,1,282.96,29.56,PLAINTEXT,92,UHF_SATCOM_DAMA_CHANNEL_BURST: TIME_SLOT_08_BURST_ID_7781_MODULATION_LOCKED_CRC32_OK_PKT_039,5548465f534154434f4d5f44414d415f4348414e4e454c5f42555253543a2054494d455f534c4f545f30385f42555253545f49445f373738315f4d4f44554c4154494f4e5f4c4f434b45445f43524333325f4f4b5f504b545f303339
IQ_040,capture_040.iq,iq,250000.0,50000.0,5.0,BPSK,NONE,1,132.42,23.62,ENCRYPTED,64,,03b9dec877c7de30b45ab7bfa9bf33cb4841d17350d8bba26bd584794f5e62f17a19d269050ec346f11df048785f96f474d954987629d7c225fdfbccddbd9669
IQ_041,capture_041.iq,iq,500000.0,50000.0,10.0,QPSK,CONV,1,104.31,21.24,PLAINTEXT,95,ACARS_AERODROME_FLIGHT_IX204: POSITION_LAT_28.6139_LON_77.2090_ALT_34000FT_SPEED_480KTS_PKT_041,41434152535f4145524f44524f4d455f464c494748545f49583230343a20504f534954494f4e5f4c41545f32382e363133395f4c4f4e5f37372e323039305f414c545f333430303046545f53504545445f3438304b54535f504b545f303431
IQ_042,capture_042.iq,iq,200000.0,50000.0,4.0,8PSK,"RS(255,223)",8,-623.98,19.32,PLAINTEXT,219,COSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: LAT_12.9716_LON_77.5946_STATUS_ACTIVECOSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: LAT_12.9716_LON_77.5946_STATUS_ACTIVECOSPAS_SARSAT_EMERGENCY_LOCATOR_HEX_A3F982B001: L,434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c41545f31322e393731365f4c4f4e5f37372e353934365f5354415455535f414354495645434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c41545f31322e393731365f4c4f4e5f37372e353934365f5354415455535f414354495645434f535041535f5341525341545f454d455247454e43595f4c4f4341544f525f4845585f413346393832423030313a204c
IQ_043,capture_043.iq,iq,250000.0,50000.0,5.0,16-QAM,"CONV+RS(255,223)",16,-492.6,22.46,PLAINTEXT,245,AIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_CONTAINER_VESSELAIS_MARINE_SURVEILLANCE_MMSI_419000888: COURSE_270_SPEED_14_2KTS_CARGO_,4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f434f4e5441494e45525f56455353454c4149535f4d4152494e455f5355525645494c4c414e43455f4d4d53495f3431393030303838383a20434f555253455f3237305f53504545445f31345f324b54535f434152474f5f
IQ_044,capture_044.iq,iq,500000.0,50000.0,10.0,2-FSK,LDPC,1,-484.58,20.2,ENCRYPTED,64,,92bdc38ea5458e75b663a8c1a6d0027da087f8765f349d3a33ed864e7930055a01fdecb1a0e88f055e863b99965f973b74c3dfcab09177d5e82f89480d4f2793
IQ_045,capture_045.iq,iq,200000.0,50000.0,4.0,4-FSK,NONE,1,-471.43,19.88,PLAINTEXT,91,TELEMETRY_SUBSYSTEM_HK_PACKET_99: BATTERY_V_28_4_SOLAR_PWR_145W_CPU_TEMP_42C_BUS_OK_PKT_045,54454c454d455452595f53554253595354454d5f484b5f5041434b45545f39393a20424154544552595f565f32385f345f534f4c41525f5057525f313435575f4350555f54454d505f3432435f4255535f4f4b5f504b545f303435
IQ_046,capture_046.iq,iq,250000.0,50000.0,5.0,2-FSK,CONV,1,-630.37,23.91,PLAINTEXT,91,RADAR_TRACK_REPORT_AZ_045_EL_12_RNG_85KM: DOPPLER_FREQ_SHIFT_320HZ_CONFIRM_FRIENDLY_PKT_046,52414441525f545241434b5f5245504f52545f415a5f3034355f454c5f31325f524e475f38354b4d3a20444f50504c45525f465245515f53484946545f333230485a5f434f4e4649524d5f465249454e444c595f504b545f303436
IQ_047,capture_047.iq,iq,500000.0,50000.0,10.0,4-FSK,"RS(255,223)",16,-290.42,23.53,PLAINTEXT,219,GROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSSI_NEG72DBM_SNR_24DB_LOCK_OKGROUND_STATION_TELEMETRY_LINK_SYNC: FRAME_SEQ_10482_RSS,47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353495f4e4547373244424d5f534e525f323444425f4c4f434b5f4f4b47524f554e445f53544154494f4e5f54454c454d455452595f4c494e4b5f53594e433a204652414d455f5345515f31303438325f525353
IQ_048,capture_048.iq,iq,200000.0,50000.0,4.0,BPSK,"CONV+RS(255,223)",1,-633.72,21.37,ENCRYPTED,64,,92edf0d46987ecdf4516d59cd50185292df27b207bba97f081f028cc27c45dacbe72a46ca2d25925d5a08d371a44967c82d9d85dbc41f0df01c9ca42bbd7cbaf
